TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.autotest.StackAr,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9714811991869918,275,266
org.autotest.StackAr,LINE;BRANCH,1.0,80,80
org.autotest.StackAr,LINE;BRANCH,1.0,80,80
